Episode 0 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 1 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 2 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 3 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 4 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 5 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 6 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 7 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 8 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 9 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 10 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 11 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 12 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 13 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 14 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 15 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 16 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 17 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 18 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 19 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 20 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 21 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 22 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 23 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 24 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 25 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 26 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 27 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 28 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 29 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 30 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 31 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 32 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 33 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 34 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 35 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 36 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 37 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 38 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 39 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 40 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 41 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 42 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 43 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 44 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 45 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 46 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 47 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 48 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 49 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 50 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 51 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 52 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 53 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 54 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 55 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 56 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 57 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 58 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 59 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 60 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 61 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 62 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 63 - {'wins': 0, 'losses': 10, 'draw': 0}
Episode 0 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 1 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 2 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 3 - {'wins': 0, 'losses': 1, 'draw': 9}
Episode 0 - {'wins': 0, 'losses': 1, 'draw': 9}
Episode 1 - {'wins': 0, 'losses': 1, 'draw': 9}
Episode 0 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 0 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 1 - {'wins': 0, 'losses': 1, 'draw': 9}
Episode 2 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 3 - {'wins': 0, 'losses': 2, 'draw': 8}
Episode 4 - {'wins': 0, 'losses': 1, 'draw': 9}
Episode 5 - {'wins': 0, 'losses': 3, 'draw': 7}
Episode 6 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 7 - {'wins': 0, 'losses': 2, 'draw': 8}
Episode 8 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 9 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 10 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 11 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 12 - {'wins': 0, 'losses': 2, 'draw': 8}
Episode 13 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 14 - {'wins': 0, 'losses': 1, 'draw': 9}
Episode 15 - {'wins': 0, 'losses': 3, 'draw': 7}
Episode 16 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 17 - {'wins': 0, 'losses': 1, 'draw': 9}
Episode 18 - {'wins': 0, 'losses': 2, 'draw': 8}
Episode 19 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 20 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 21 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 22 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 23 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 24 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 25 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 26 - {'wins': 0, 'losses': 1, 'draw': 9}
Episode 27 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 28 - {'wins': 0, 'losses': 2, 'draw': 8}
Episode 29 - {'wins': 0, 'losses': 1, 'draw': 9}
Episode 30 - {'wins': 0, 'losses': 1, 'draw': 9}
Episode 31 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 32 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 33 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 34 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 35 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 36 - {'wins': 0, 'losses': 1, 'draw': 9}
Episode 37 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 38 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 39 - {'wins': 0, 'losses': 1, 'draw': 9}
Episode 40 - {'wins': 0, 'losses': 4, 'draw': 6}
Episode 41 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 42 - {'wins': 0, 'losses': 1, 'draw': 9}
Episode 43 - {'wins': 0, 'losses': 1, 'draw': 9}
Episode 44 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 45 - {'wins': 0, 'losses': 1, 'draw': 9}
Episode 46 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 47 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 48 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 49 - {'wins': 0, 'losses': 1, 'draw': 9}
Episode 50 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 51 - {'wins': 0, 'losses': 1, 'draw': 9}
Episode 52 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 53 - {'wins': 0, 'losses': 1, 'draw': 9}
Episode 54 - {'wins': 0, 'losses': 2, 'draw': 8}
Episode 55 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 56 - {'wins': 0, 'losses': 1, 'draw': 9}
Episode 57 - {'wins': 0, 'losses': 2, 'draw': 8}
Episode 58 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 59 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 60 - {'wins': 0, 'losses': 1, 'draw': 9}
Episode 61 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 62 - {'wins': 0, 'losses': 1, 'draw': 9}
Episode 63 - {'wins': 0, 'losses': 1, 'draw': 9}
Episode 64 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 65 - {'wins': 0, 'losses': 1, 'draw': 9}
Episode 66 - {'wins': 0, 'losses': 1, 'draw': 9}
Episode 67 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 68 - {'wins': 0, 'losses': 2, 'draw': 8}
Episode 69 - {'wins': 0, 'losses': 1, 'draw': 9}
Episode 70 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 71 - {'wins': 0, 'losses': 1, 'draw': 9}
Episode 72 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 73 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 74 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 75 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 76 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 77 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 78 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 79 - {'wins': 0, 'losses': 1, 'draw': 9}
Episode 80 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 81 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 82 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 83 - {'wins': 0, 'losses': 1, 'draw': 9}
Episode 84 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 85 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 86 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 87 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 88 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 89 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 90 - {'wins': 0, 'losses': 1, 'draw': 9}
Episode 91 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 92 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 93 - {'wins': 0, 'losses': 1, 'draw': 9}
Episode 94 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 95 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 96 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 97 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 98 - {'wins': 0, 'losses': 0, 'draw': 10}
Episode 99 - {'wins': 0, 'losses': 1, 'draw': 9}
